,model,bias_type,metric_score,stereotype_score,antistereotype_score
0,bert-base-cased,race-color,48.84,48.84,48.84
1,bert-base-cased,gender,55.73,57.86,52.43
2,bert-base-cased,socioeconomic,56.4,58.6,33.33
3,bert-base-cased,nationality,49.69,49.32,54.55
4,bert-base-cased,religion,64.76,65.66,50.0
5,bert-base-cased,age,56.32,57.53,50.0
6,bert-base-cased,sexual-orientation,77.38,80.56,58.33
7,bert-base-cased,physical-appearance,60.32,63.46,45.45
8,bert-base-cased,disability,65.0,64.91,66.67
9,bert-base-cased,overall,55.24,56.05,50.46
10,bert-base-uncased,race-color,57.95,58.26,55.81
11,bert-base-uncased,gender,58.02,55.35,62.14
12,bert-base-uncased,socioeconomic,59.88,61.15,46.67
13,bert-base-uncased,nationality,63.52,64.86,45.45
14,bert-base-uncased,religion,71.43,72.73,50.0
15,bert-base-uncased,age,55.17,60.27,28.57
16,bert-base-uncased,sexual-orientation,66.67,68.06,58.33
17,bert-base-uncased,physical-appearance,63.49,61.54,72.73
18,bert-base-uncased,disability,61.67,63.16,33.33
19,bert-base-uncased,overall,60.41,61.13,56.42
20,bert-large-uncased,race-color,60.08,60.47,55.81
21,bert-large-uncased,gender,55.34,54.72,56.31
22,bert-large-uncased,socioeconomic,56.4,57.32,46.67
23,bert-large-uncased,nationality,52.2,54.05,27.27
24,bert-large-uncased,religion,68.57,68.69,66.67
25,bert-large-uncased,age,55.17,60.27,28.57
26,bert-large-uncased,sexual-orientation,64.29,65.28,58.33
27,bert-large-uncased,physical-appearance,69.84,69.23,72.73
28,bert-large-uncased,disability,76.67,75.44,100.0
29,bert-large-uncased,overall,59.62,60.54,54.13
30,bert-large-cased,race-color,56.98,58.35,41.86
31,bert-large-cased,gender,52.29,55.35,47.57
32,bert-large-cased,socioeconomic,52.91,54.14,40.0
33,bert-large-cased,nationality,47.8,47.3,54.55
34,bert-large-cased,religion,68.57,69.7,50.0
35,bert-large-cased,age,57.47,60.27,42.86
36,bert-large-cased,sexual-orientation,66.67,70.83,41.67
37,bert-large-cased,physical-appearance,73.02,80.77,36.36
38,bert-large-cased,disability,65.0,66.67,33.33
39,bert-large-cased,overall,57.1,59.15,44.95
40,bert-base-multilingual-uncased,race-color,53.1,53.7,46.51
41,bert-base-multilingual-uncased,gender,53.05,52.83,53.4
42,bert-base-multilingual-uncased,socioeconomic,55.81,57.32,40.0
43,bert-base-multilingual-uncased,nationality,55.97,56.76,45.45
44,bert-base-multilingual-uncased,religion,68.57,67.68,83.33
45,bert-base-multilingual-uncased,age,56.32,58.9,42.86
46,bert-base-multilingual-uncased,sexual-orientation,63.1,66.67,41.67
47,bert-base-multilingual-uncased,physical-appearance,53.97,55.77,45.45
48,bert-base-multilingual-uncased,disability,68.33,66.67,100.0
49,bert-base-multilingual-uncased,overall,56.17,57.13,50.46
50,bert-base-multilingual-cased,race-color,54.46,54.97,48.84
51,bert-base-multilingual-cased,gender,45.04,46.54,42.72
52,bert-base-multilingual-cased,socioeconomic,51.16,52.87,33.33
53,bert-base-multilingual-cased,nationality,49.69,48.65,63.64
54,bert-base-multilingual-cased,religion,59.05,59.6,50.0
55,bert-base-multilingual-cased,age,51.72,54.79,35.71
56,bert-base-multilingual-cased,sexual-orientation,70.24,72.22,58.33
57,bert-base-multilingual-cased,physical-appearance,58.73,57.69,63.64
58,bert-base-multilingual-cased,disability,53.33,54.39,33.33
59,bert-base-multilingual-cased,overall,53.12,54.34,45.87
60,allenai/scibert_scivocab_uncased,race-color,58.91,59.62,51.16
61,allenai/scibert_scivocab_uncased,gender,44.27,35.85,57.28
62,allenai/scibert_scivocab_uncased,socioeconomic,62.79,64.33,46.67
63,allenai/scibert_scivocab_uncased,nationality,53.46,54.05,45.45
64,allenai/scibert_scivocab_uncased,religion,56.19,55.56,66.67
65,allenai/scibert_scivocab_uncased,age,62.07,65.75,42.86
66,allenai/scibert_scivocab_uncased,sexual-orientation,67.86,70.83,50.0
67,allenai/scibert_scivocab_uncased,physical-appearance,57.14,53.85,72.73
68,allenai/scibert_scivocab_uncased,disability,68.33,70.18,33.33
69,allenai/scibert_scivocab_uncased,overall,57.03,57.52,54.13
70,emilyalsentzer/Bio_ClinicalBERT,race-color,54.84,54.97,53.49
71,emilyalsentzer/Bio_ClinicalBERT,gender,50.0,48.43,52.43
72,emilyalsentzer/Bio_ClinicalBERT,socioeconomic,44.77,42.95,66.67
73,emilyalsentzer/Bio_ClinicalBERT,nationality,53.46,53.38,54.55
74,emilyalsentzer/Bio_ClinicalBERT,religion,45.71,46.46,33.33
75,emilyalsentzer/Bio_ClinicalBERT,age,51.72,50.68,57.14
76,emilyalsentzer/Bio_ClinicalBERT,sexual-orientation,70.24,75.0,41.67
77,emilyalsentzer/Bio_ClinicalBERT,physical-appearance,52.38,50.0,63.64
78,emilyalsentzer/Bio_ClinicalBERT,disability,56.67,54.39,100.0
79,emilyalsentzer/Bio_ClinicalBERT,overall,52.72,52.51,54.13
80,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,race-color,55.81,56.03,53.49
81,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,gender,51.91,50.94,53.4
82,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,socioeconomic,61.63,61.15,66.67
83,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,nationality,48.43,48.65,45.45
84,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,religion,59.05,57.58,83.33
