,model,bias_type,metric_score,stereotype_score,antistereotype_score,neutral_score
0,bert-base-cased,race-color,30.23,29.6,37.21,39.53
1,bert-base-cased,gender,38.93,40.25,36.89,28.24
2,bert-base-cased,socioeconomic,41.86,43.31,26.67,25.0
3,bert-base-cased,nationality,28.93,28.38,36.36,35.22
4,bert-base-cased,religion,51.43,51.52,50.0,21.9
5,bert-base-cased,age,33.33,36.99,14.29,35.63
6,bert-base-cased,sexual-orientation,60.71,65.28,33.33,29.76
7,bert-base-cased,physical-appearance,50.79,51.92,45.45,19.05
8,bert-base-cased,disability,50.0,50.88,33.33,25.0
9,bert-base-uncased,race-color,36.82,36.58,39.53,36.82
10,bert-base-uncased,gender,43.89,44.03,43.69,23.66
11,bert-base-uncased,socioeconomic,48.26,49.68,33.33,17.44
12,bert-base-uncased,nationality,46.54,47.3,36.36,26.42
13,bert-base-uncased,religion,60.0,60.61,50.0,20.0
14,bert-base-uncased,age,40.23,43.84,21.43,29.89
15,bert-base-uncased,sexual-orientation,54.76,56.94,41.67,19.05
16,bert-base-uncased,physical-appearance,58.73,57.69,63.64,12.7
17,bert-base-uncased,disability,56.67,57.89,33.33,16.67
18,bert-large-uncased,race-color,44.38,44.4,44.19,26.74
19,bert-large-uncased,gender,41.22,45.91,33.98,25.95
20,bert-large-uncased,socioeconomic,49.42,50.96,33.33,16.86
21,bert-large-uncased,nationality,42.14,43.92,18.18,23.27
22,bert-large-uncased,religion,60.0,59.6,66.67,16.19
23,bert-large-uncased,age,41.38,45.21,21.43,24.14
24,bert-large-uncased,sexual-orientation,53.57,55.56,41.67,20.24
25,bert-large-uncased,physical-appearance,61.9,59.62,72.73,14.29
26,bert-large-uncased,disability,70.0,68.42,100.0,13.33
27,bert-large-cased,race-color,39.92,40.38,34.88,32.75
28,bert-large-cased,gender,41.6,43.4,38.83,25.19
29,bert-large-cased,socioeconomic,39.53,40.13,33.33,23.26
30,bert-large-cased,nationality,32.08,32.43,27.27,31.45
31,bert-large-cased,religion,49.52,49.49,50.0,30.48
32,bert-large-cased,age,48.28,53.42,21.43,22.99
33,bert-large-cased,sexual-orientation,58.33,62.5,33.33,21.43
34,bert-large-cased,physical-appearance,53.97,57.69,36.36,23.81
35,bert-large-cased,disability,48.33,49.12,33.33,25.0
36,bert-base-multilingual-uncased,race-color,31.98,31.71,34.88,42.64
37,bert-base-multilingual-uncased,gender,35.11,33.96,36.89,39.69
38,bert-base-multilingual-uncased,socioeconomic,40.12,40.13,40.0,30.81
39,bert-base-multilingual-uncased,nationality,33.96,33.11,45.45,43.4
40,bert-base-multilingual-uncased,religion,42.86,44.44,16.67,34.29
41,bert-base-multilingual-uncased,age,36.78,41.1,14.29,37.93
42,bert-base-multilingual-uncased,sexual-orientation,42.86,45.83,25.0,32.14
43,bert-base-multilingual-uncased,physical-appearance,41.27,42.31,36.36,31.75
44,bert-base-multilingual-uncased,disability,50.0,50.88,33.33,28.33
45,bert-base-multilingual-cased,race-color,30.43,30.66,27.91,48.06
46,bert-base-multilingual-cased,gender,31.3,33.33,28.16,31.3
47,bert-base-multilingual-cased,socioeconomic,33.14,35.03,13.33,34.3
48,bert-base-multilingual-cased,nationality,30.19,28.38,54.55,35.22
49,bert-base-multilingual-cased,religion,36.19,36.36,33.33,39.05
50,bert-base-multilingual-cased,age,26.44,28.77,14.29,47.13
51,bert-base-multilingual-cased,sexual-orientation,58.33,62.5,33.33,20.24
52,bert-base-multilingual-cased,physical-appearance,36.51,40.38,18.18,42.86
53,bert-base-multilingual-cased,disability,38.33,38.6,33.33,33.33
54,allenai/scibert_scivocab_uncased,race-color,34.11,34.88,25.58,45.16
55,allenai/scibert_scivocab_uncased,gender,24.43,20.13,31.07,41.98
56,allenai/scibert_scivocab_uncased,socioeconomic,47.09,47.77,40.0,26.74
57,allenai/scibert_scivocab_uncased,nationality,34.59,35.14,27.27,44.03
58,allenai/scibert_scivocab_uncased,religion,37.14,37.37,33.33,37.14
59,allenai/scibert_scivocab_uncased,age,37.93,39.73,28.57,39.08
60,allenai/scibert_scivocab_uncased,sexual-orientation,59.52,63.89,33.33,26.19
61,allenai/scibert_scivocab_uncased,physical-appearance,50.79,48.08,63.64,15.87
62,allenai/scibert_scivocab_uncased,disability,60.0,61.4,33.33,16.67
63,emilyalsentzer/Bio_ClinicalBERT,race-color,34.11,34.04,34.88,39.73
64,emilyalsentzer/Bio_ClinicalBERT,gender,27.86,28.93,26.21,46.18
65,emilyalsentzer/Bio_ClinicalBERT,socioeconomic,31.4,29.94,46.67,37.21
66,emilyalsentzer/Bio_ClinicalBERT,nationality,32.08,31.08,45.45,40.25
67,emilyalsentzer/Bio_ClinicalBERT,religion,20.95,20.2,33.33,39.05
68,emilyalsentzer/Bio_ClinicalBERT,age,28.74,30.14,21.43,43.68
69,emilyalsentzer/Bio_ClinicalBERT,sexual-orientation,52.38,56.94,25.0,32.14
70,emilyalsentzer/Bio_ClinicalBERT,physical-appearance,36.51,34.62,45.45,36.51
71,emilyalsentzer/Bio_ClinicalBERT,disability,45.0,42.11,100.0,28.33
72,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,race-color,29.46,28.54,39.53,47.48
73,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,gender,29.01,30.82,26.21,41.98
74,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,socioeconomic,45.35,43.95,60.0,30.81
75,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,nationality,30.82,31.76,18.18,43.4
76,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,religion,38.1,35.35,83.33,41.9
77,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,age,29.89,31.51,21.43,42.53
78,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,sexual-orientation,42.86,48.61,8.33,39.29
79,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,physical-appearance,31.75,28.85,45.45,34.92
80,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,disability,51.67,52.63,33.33,28.33
81,nlpaueb/legal-bert-base-uncased,race-color,37.98,38.9,27.91,38.76
82,nlpaueb/legal-bert-base-uncased,gender,33.21,33.96,32.04,33.97
83,nlpaueb/legal-bert-base-uncased,socioeconomic,48.84,47.77,60.0,20.35
84,nlpaueb/legal-bert-base-uncased,nationality,34.59,31.76,72.73,31.45
85,nlpaueb/legal-bert-base-uncased,religion,50.48,49.49,66.67,30.48
86,nlpaueb/legal-bert-base-uncased,age,40.23,39.73,42.86,21.84
87,nlpaueb/legal-bert-base-uncased,sexual-orientation,58.33,63.89,25.0,26.19
88,nlpaueb/legal-bert-base-uncased,physical-appearance,41.27,40.38,45.45,28.57
89,nlpaueb/legal-bert-base-uncased,disability,55.0,56.14,33.33,21.67
90,GroNLP/hateBERT,race-color,40.12,40.38,37.21,30.62
91,GroNLP/hateBERT,gender,40.84,40.25,41.75,28.63
92,GroNLP/hateBERT,socioeconomic,40.12,39.49,46.67,22.09
93,GroNLP/hateBERT,nationality,40.88,41.89,27.27,30.82
94,GroNLP/hateBERT,religion,60.0,60.61,50.0,20.95
95,GroNLP/hateBERT,age,43.68,49.32,14.29,25.29
96,GroNLP/hateBERT,sexual-orientation,57.14,59.72,41.67,22.62
97,GroNLP/hateBERT,physical-appearance,46.03,50.0,27.27,30.16
98,GroNLP/hateBERT,disability,58.33,59.65,33.33,13.33
99,anferico/bert-for-patents,race-color,30.23,31.5,16.28,42.25
100,anferico/bert-for-patents,gender,28.24,27.04,30.1,38.17
101,anferico/bert-for-patents,socioeconomic,26.74,27.39,20.0,29.07
102,anferico/bert-for-patents,nationality,27.67,25.68,54.55,40.25
103,anferico/bert-for-patents,religion,45.71,42.42,100.0,29.52
104,anferico/bert-for-patents,age,39.08,38.36,42.86,36.78
105,anferico/bert-for-patents,sexual-orientation,33.33,33.33,33.33,40.48
106,anferico/bert-for-patents,physical-appearance,34.92,32.69,45.45,28.57
107,anferico/bert-for-patents,disability,48.33,47.37,66.67,23.33
108,jackaduma/SecBERT,race-color,41.47,41.86,37.21,28.49
109,jackaduma/SecBERT,gender,35.5,31.45,41.75,22.9
110,jackaduma/SecBERT,socioeconomic,37.21,37.58,33.33,20.93
111,jackaduma/SecBERT,nationality,35.85,37.16,18.18,33.33
112,jackaduma/SecBERT,religion,40.0,39.39,50.0,32.38
113,jackaduma/SecBERT,age,25.29,23.29,35.71,31.03
114,jackaduma/SecBERT,sexual-orientation,41.67,40.28,50.0,32.14
115,jackaduma/SecBERT,physical-appearance,36.51,36.54,36.36,25.4
116,jackaduma/SecBERT,disability,48.33,45.61,100.0,26.67
117,albert-base-v1,race-color,27.71,27.91,25.58,52.52
